n_batches,n_cells,celltype,np_mean,np_median,n_cells_ct
5,102144,B cell,0.7776965498924255,0.8666666746139526,3829
5,102144,Dendritic cell,0.7044334411621094,0.7666666507720947,2624
5,102144,Macrophage,0.7910293340682983,0.8333333134651184,42535
5,102144,Mast,0.925933003425598,1.0,2099
5,102144,NK cell,0.7926353216171265,0.8666666746139526,10840
5,102144,Plasma cell,0.7916623950004578,0.8999999761581421,3934
5,102144,T cell,0.741354763507843,0.800000011920929,35667
5,102144,pDC,0.6253787875175476,0.6333333253860474,616
10,189678,B cell,0.6974644660949707,0.800000011920929,5745
10,189678,Dendritic cell,0.557038426399231,0.6000000238418579,8025
10,189678,Macrophage,0.6870371699333191,0.7666666507720947,57418
10,189678,Mast,0.5406852960586548,0.5333333611488342,1469
10,189678,NK cell,0.6576849818229675,0.7333333492279053,24988
10,189678,Plasma cell,0.7298603057861328,0.8333333134651184,19474
10,189678,T cell,0.6210277676582336,0.699999988079071,71415
10,189678,pDC,0.5802738666534424,0.6166666746139526,1144
20,547521,B cell,0.5585787296295166,0.6000000238418579,47029
20,547521,Dendritic cell,0.4795987904071808,0.4666666686534881,17780
20,547521,Macrophage,0.6122275590896606,0.6666666865348816,119588
20,547521,Mast,0.46138796210289,0.4333333373069763,5980
20,547521,NK cell,0.5590042471885681,0.6000000238418579,56018
20,547521,Plasma cell,0.6373676657676697,0.7333333492279053,43725
20,547521,T cell,0.4711108207702636,0.4666666686534881,254162
20,547521,pDC,0.4470515549182892,0.4333333373069763,3239
30,810380,B cell,0.4449089169502258,0.4333333373069763,75642
30,810380,Dendritic cell,0.4067933857440948,0.3666666746139526,23356
30,810380,Macrophage,0.5499511361122131,0.6000000238418579,186960
30,810380,Mast,0.4319396913051605,0.4333333373069763,11959
30,810380,NK cell,0.4533749520778656,0.4333333373069763,86816
30,810380,Plasma cell,0.613890528678894,0.6666666865348816,49782
30,810380,T cell,0.3832479417324066,0.3333333432674408,371282
30,810380,pDC,0.3678376674652099,0.3333333432674408,4583
50,1076724,B cell,0.4800598323345184,0.4333333373069763,119546
50,1076724,Dendritic cell,0.3582377731800079,0.3000000119209289,29822
50,1076724,Macrophage,0.4889611601829529,0.5,241879
50,1076724,Mast,0.3527208864688873,0.3333333432674408,15283
50,1076724,NK cell,0.3951790928840637,0.3666666746139526,106743
50,1076724,Plasma cell,0.5534382462501526,0.5666666626930237,56797
50,1076724,T cell,0.3256796300411224,0.2666666805744171,500086
50,1076724,pDC,0.316042423248291,0.3000000119209289,6568
103,2256276,B cell,0.4021788450253098,0.3333,264127
103,2256276,Dendritic cell,0.2829267839740119,0.2333,55410
103,2256276,Macrophage,0.46438333649584,0.4333,584979
103,2256276,Mast,0.2409537601220088,0.2,27539
103,2256276,NK cell,0.2977515098606063,0.2333,174685
103,2256276,Plasma cell,0.43736980096786426,0.3667,108073
103,2256276,T cell,0.2505212802302237,0.1667,1028565
103,2256276,pDC,0.23114382850054271,0.1667,12898
